"About Verve","Über Verve"
"InfoCrank","InfoCrank"
"Community","Community"
"Espresso","Espresso"
"Affiliates","Affiliates"
"Contact","Kontakt"
"Verve Store","Verve Store"

"Order Status","Bestellstatus"
"Returns & Refunds","Rückgaberecht & Rückerstattungen"
"Payment & Pricing","Bezahlung & Preise"
"FAQ’s","FAQ’s"
"Shipping & Pickup","Fracht & Abholung"
"Contact Us","Kontakt"
"Privacy","Datenschutz"
"Sitemap","Sitemap"
"Affiliate Program","Affiliate-Programm"

"Cart: %s item","Warenkorb: %s Artikel"
"Cart: %s items","Warenkorb: %s Artikel"
"Cart: 0 items","Warenkorb: 0 Artikel"
"My Cart","Mein Warenkorb"
"Account: Login","Anmelden"
"Account: Log Out","Abmelden"

"British Pound Sterling", "British Pound"
