"About Verve","Su Verve"
"InfoCrank","InfoCrank"
"Community","Community"
"Espresso","Espresso"
"Affiliates","Affiliati"
"Contact","Contatto"
"Verve Store","Verve Store"

"Order Status","stato dell'ordine"
"Returns & Refunds","Resi e Rimborsi"
"Payment & Pricing","Forme di pagamento"
"FAQ’s","FAQ’s"
"Shipping & Pickup","Spedizioni & Pickup"
"Contact Us","Contatto"
"Privacy","Privata"
"Sitemap","Sitemap"
"Affiliate Program","Programma di affiliazione"

"Cart: %s item","Il mio carrello: %s articolo"
"Cart: %s items","Il mio carrello: %s articoli"
"Cart: 0 items","Il mio carrello: 0 articoli"
"My Cart","Il mio carrello"
"Account: Login","Accedi"
"Account: Log Out","Esci"

"British Pound Sterling", "British Pound"
