"Name on Card","Name on Card"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"Sorry, this payment method can not be used at the moment. Try again later.","Sorry, this payment method can not be used at the moment. Try again later."
"Customer was refunded the amount of ","Customer was refunded the amount of "
"Could not refund payment: ","Could not refund payment: "
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Your card's expiration date is incorrect.","Your card's expiration date is incorrect."
"Your card was declined.","Your card was declined."
"Your card's security code is invalid.","Your card's security code is invalid."
"The zip code you supplied failed validation.","The zip code you supplied failed validation."
"An error occurred while processing your card. Try again in a little bit.","An error occurred while processing your card. Try again in a little bit."
"Could not set up customer profile: ","Could not set up customer profile: "
"Could not retrieve customer profile.","Could not retrieve customer profile."
"Could not retrieve customer profile: ","Could not retrieve customer profile: "
"ending in","ending in"
"expires","expires"
"Use a new card","Use a new card"
"Disabled","Disabled"
"Enabled","Enabled"
"Test","Test"
"Live","Live"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Saved Cards","My Saved Cards"
"Select cards to remove","Select cards to remove"
"Save card for future purchases","Save card for future purchases"
"Card","Card"
"Changing order status as per New Order Status configuration","Changing order status as per New Order Status configuration"
"This order has already been refunded in Stripe. To refund from Magento, please refund it offline.","This order has already been refunded in Stripe. To refund from Magento, please refund it offline."
"The authorization has expired and the customer has no saved cards to re-create the order.","The authorization has expired and the customer has no saved cards to re-create the order."
"You have no saved cards.","You have no saved cards."
"Street Check","Street Check"
"Zip Check","Zip Check"
"Add new card","Add new card"
"Sorry, the card could not be added!","Sorry, the card could not be added!"
